263,0.54976,86,7,12,1.43,7,2,0,1,0,0,0,0,0
899,0.39547,63,10,9,0.01,6,2,0,0,1,0,0,0,0
592,0.54102,65,8,13,0.74,8,2,0,0,0,0,1,1,0
258,0.47853,69,10,11,0,4,0,0,0,0,0,1,0,1
722,0.54976,72,10,7,0,5,0,0,0,0,0,1,0,0
499,0.47375,57,10,4,0,0,0,0,0,1,0,0,1,0
269,0.54102,68,10,11,0,4,0,0,0,0,1,0,0,0
735,0.44983,70,10,13,0,6,0,0,0,1,0,0,1,0
1487,0.79628,64,10,9,0,0,0,0,0,1,0,0,0,0
428,0.39547,74,10,21,0,3,0,0,0,0,0,1,0,0
1355,0.7246,80,10,8,0,5,0,0,0,0,1,0,1,0
835,0.36222,64,10,10,0.01,5,2,0,0,1,0,0,0,0
855,0.71472,75,10,7,0,2,0,0,0,0,0,1,1,0
646,0.67032,71,9,8,0,3,0,0,0,0,0,1,0,1
3619,0.46099,63,10,9,0.01,6,2,0,0,1,0,0,0,0
1729,0.43738,69,9,1,0,3,0,0,0,0,0,1,1,0
1168,0.43559,69,10,8,0,3,0,0,0,1,0,0,0,0
451,0.7246,71,10,12,0,6,0,0,0,0,1,0,0,0
1434,0.38632,58,10,5,0,2,1,0,0,0,1,0,1,0
494,0.47375,86,10,6,0.11,7,3,0,0,0,0,1,0,1
650,0.35379,74,10,16,0,3,0,0,0,0,0,1,0,0
515,0.65663,72,10,14,0,5,0,0,0,0,1,0,1,0
715,0.36612,55,10,6,0,1,0,0,0,0,1,0,0,0
889,0.55839,75,10,8,0,4,0,0,0,0,0,1,1,0
182,0.7246,75,9,8,0.15,5,2,0,0,0,0,1,1,0
578,0.67032,75,10,4,0,1,0,0,0,0,1,0,1,1
838,0.40089,72,8,10,0,4,0,0,0,1,0,0,0,0
496,0.54102,76,10,9,0,4,0,0,0,0,1,0,0,0
373,0.55839,73,10,8,0,5,0,0,0,1,0,0,0,0
374,0.43746,80,7,11,0.02,6,3,0,0,0,1,0,1,0
359,0.35379,51,10,6,0,0,0,0,0,1,0,0,0,0
234,0.54102,72,10,11,0,7,0,1,0,0,0,0,0,1
353,0.48277,65,10,6,0,4,0,0,1,0,0,0,1,0
345,0.43559,73,10,13,0,6,0,0,1,0,0,0,0,0
923,0.47375,72,8,2,0,0,0,0,1,0,0,0,1,0
1075,0.35379,53,10,7,0,0,0,0,0,0,1,0,0,0
285,0.39991,64,10,4,0,6,0,0,0,0,1,0,1,0
581,0.71472,69,9,10,0,4,0,0,0,1,0,0,0,0
1116,0.79628,69,10,5,0,5,0,0,0,1,0,0,1,0
471,0.39547,65,10,15,0,2,0,0,0,0,0,1,0,0
438,0.47853,63,10,4,0,1,0,0,0,0,1,0,0,0
1691,0.65663,58,10,4,0,1,0,0,1,0,0,0,0,0
228,0.47375,52,10,6,0,2,0,0,0,0,0,1,1,0
2395,0.40203,61,10,8,0,4,0,0,0,0,0,1,0,0
3161,0.37521,74,10,7,0,1,0,0,0,1,0,0,1,1
168,0.48277,62,10,8,0,0,0,0,0,0,1,0,0,1
2321,0.51441,78,10,11,0,6,0,0,0,0,0,1,0,1
321,0.54102,54,10,2,0,5,0,0,1,0,0,0,1,0
626,0.48189,72,8,15,0.52,6,2,0,0,0,1,0,1,0
738,0.47375,80,10,9,0,4,0,0,0,0,1,0,0,0
768,0.69734,60,10,7,0,1,0,0,0,1,0,0,0,0
582,0.55117,67,10,6,0,2,0,0,1,0,0,0,1,0
593,0.46099,69,10,8,0,3,0,0,0,0,0,1,1,0
1290,0.67032,67,10,11,0,4,0,0,0,1,0,0,0,1
754,0.55117,69,10,10,0,4,0,0,1,0,0,0,0,0
125,0.38202,74,10,7,0,1,0,0,0,0,0,1,1,1
708,0.38202,69,9,8,0,1,0,0,0,0,1,0,0,0
325,0.39547,49,10,8,0,0,0,0,0,0,0,1,1,0
555,0.43617,73,10,13,0,6,0,0,0,1,0,0,0,0
493,0.55117,78,10,9,0,2,0,0,0,1,0,0,1,1
550,0.43746,50,10,10,0,0,0,0,0,1,0,0,1,0
818,0.40203,71,10,9,0.02,5,2,0,0,0,1,0,1,0
642,0.36612,57,10,6,0,5,0,0,0,0,0,1,0,1
364,0.54976,66,10,8,0,5,0,0,1,0,0,0,0,1
536,0.35379,72,10,15,0,4,0,0,0,0,1,0,1,0
134,0.40203,75,10,11,0,4,0,0,0,0,1,0,0,0
296,0.54976,66,9,11,0,6,0,0,1,0,0,0,0,0
453,0.37521,50,10,6,0,2,0,0,0,0,0,1,0,0
626,0.44983,71,10,8,0,4,0,0,0,0,1,0,0,1
1388,0.43559,73,10,10,0,6,0,0,0,0,1,0,0,1
153,0.69734,85,8,14,1.09,8,2,0,0,0,0,1,1,0
6670,0.40203,69,10,8,0,3,0,0,0,1,0,0,0,1
152,0.55117,64,10,9,0,3,0,0,0,1,0,0,0,1
319,0.48277,72,10,11,0,6,0,0,0,0,0,1,0,0
708,0.36608,75,10,12,0,6,0,0,0,0,0,1,1,0
