station_distance,mean_humidity,mean_visibility_miles,mean_wind_speed_mph,precipitation_inches,cloud_cover,events,day_week,start_time,mean_temperature_f,duration
0.40203,68,10,12,0,5,0,Sat,14.11666667,69,778
0.43746,78,9,6,0,6,0,Tue,6.616666667,55,669
0.36608,72,10,5,0.02,5,2,Wed,18.25,58,511
0.35379,66,10,12,0,1,0,Fri,11.68333333,58,346
0.46099,66,10,10,0,6,0,Tue,8.966666667,68,823
0.54976,61,10,4,0,0,0,Wed,8.116666667,54,619
0.38632,64,10,16,0,1,0,Tue,19.95,62,410
0.35379,64,10,9,0,0,0,Mon,17.68333333,68,674
0.65663,62,10,6,0,0,0,Tue,6.816666667,72,394
0.48189,73,9,8,0,5,0,Mon,7.033333333,59,300
0.43617,73,10,11,0,6,0,Tue,22.46666667,68,532
0.36612,72,10,7,0,5,0,Tue,19.95,65,693
0.36608,47,10,8,0,0,0,Thu,17.21666667,65,562
0.36612,71,10,5,0,2,0,Tue,16.21666667,53,319
0.67032,73,10,10,0,6,0,Wed,14.75,60,679
0.38202,65,10,9,0,0,0,Sat,15.46666667,62,405
0.46099,59,10,10,0,2,0,Tue,8.183333333,62,600
0.36612,61,10,3,0,2,0,Wed,14.33333333,60,350
0.55839,43,10,6,0,2,0,Wed,15.86666667,75,1615
0.51441,74,10,11,0,5,0,Thu,16.98333333,68,1216
0.39991,82,10,9,0,2,1,Fri,9.283333333,58,984
0.43559,58,10,6,0,1,0,Thu,21.63333333,58,962
0.451,73,9,5,0,1,0,Wed,8.733333333,64,568
0.7246,62,8,7,0,2,0,Thu,13.33333333,70,1114
0.54102,65,10,6,0,4,0,Thu,8.95,56,699
0.79628,61,10,9,0,0,0,Mon,18.25,69,460
0.55166,69,10,2,0,1,0,Wed,8.766666667,51,507
0.55166,52,10,12,0,2,0,Thu,7.716666667,53,375
0.35379,80,10,4,0,6,0,Mon,20.9,60,496
0.55839,74,10,11,0,5,0,Thu,9.6,68,399
0.46099,76,9,6,0,3,0,Thu,12.53333333,56,395
0.35379,86,6,5,0,5,1,Wed,7.7,55,1331
0.79628,85,8,12,0.25,8,2,Fri,18.45,56,1248
0.67032,70,10,8,0,4,0,Tue,13.3,59,306
0.65663,78,10,11,0,6,0,Sat,22.16666667,66,1932
0.69734,83,8,2,0,7,1,Tue,15.83333333,59,810
0.39991,65,10,6,0,4,0,Thu,8.266666667,56,656
0.451,76,8,13,0.57,6,2,Mon,18.73333333,53,357
0.55839,71,9,8,0,4,0,Fri,16.51666667,66,307
0.40203,84,9,3,0,0,1,Tue,20.3,56,1120
0.48277,80,10,4,0,6,0,Mon,18.2,60,311
0.40089,66,10,7,0,2,0,Wed,16.05,57,586
0.55166,77,10,8,0,5,0,Mon,9.466666667,63,908
0.35379,67,10,7,0,1,0,Mon,7.683333333,59,570
0.44983,73,10,3,0,2,1,Wed,16.13333333,53,976
0.46099,66,10,10,0,4,0,Fri,17.08333333,64,527
0.48189,69,10,5,0,5,0,Mon,12.08333333,53,561
0.39991,73,10,9,0,6,0,Thu,12.85,57,411
0.48189,56,10,7,0,0,0,Thu,4.933333333,68,448
0.35379,68,10,6,0,5,0,Thu,8.966666667,61,372
0.65663,69,10,13,0,5,0,Fri,10,67,634
0.51441,64,10,1,0,1,0,Sun,16.66666667,54,817
0.69734,69,10,11,0,5,0,Tue,17.7,67,643
0.54102,81,10,5,0,7,0,Tue,6.7,59,583
0.79628,70,10,13,0,2,0,Fri,16.13333333,69,816
0.47853,81,10,4,0,1,1,Sun,15.63333333,59,1185
0.54102,70,10,3,0,1,0,Fri,13.45,58,801
0.36608,86,10,6,0.11,7,3,Sat,12.3,62,668
0.36222,70,10,10,0,1,0,Sun,11.76666667,63,958
0.54976,92,9,11,0.23,8,2,Fri,7.366666667,54,460
0.451,45,10,6,0,2,0,Thu,9.583333333,71,583
0.55166,71,10,8,0,5,1,Fri,8.1,63,645
0.451,72,10,12,0,6,0,Mon,20.56666667,58,649
0.55166,66,10,4,0,5,0,Fri,6.733333333,61,846
0.39991,72,10,13,0,8,0,Mon,8.716666667,57,462
0.55839,78,7,3,0,3,0,Wed,8.833333333,49,305
0.40203,64,10,14,0,5,0,Mon,17.48333333,70,817
0.40089,63,10,4,0,1,0,Wed,14.81666667,64,446
0.37521,72,10,7,0,5,0,Tue,14.61666667,65,466
0.55117,68,10,9,0,7,0,Tue,18.41666667,62,529
0.37521,70,10,6,0,1,0,Wed,15.43333333,60,341
0.36222,70,10,2,0,1,0,Mon,9.866666667,53,371
0.39991,72,9,13,0.69,7,2,Tue,16.48333333,52,633
0.7246,68,10,13,0,4,0,Thu,20.41666667,68,483
0.40089,68,10,11,0,4,0,Tue,18.4,60,344
0.38632,71,10,9,0,2,0,Fri,15.7,65,984
0.38632,70,10,6,0,1,0,Sun,16.21666667,61,919
0.38632,69,10,9,0,4,0,Mon,12.53333333,67,497
0.55166,72,10,11,0,6,0,Thu,9.333333333,62,524
0.48189,77,10,8,0,3,1,Wed,21.1,60,467
0.53191,49,10,5,0,0,0,Mon,22.53333333,64,972
0.39991,66,10,19,0,1,0,Tue,17.53333333,65,1191
0.54102,54,10,2,0,1,0,Sun,14.16666667,55,2013
0.36612,72,10,11,0,6,0,Thu,16.98333333,62,729
0.55166,65,10,4,0,5,0,Fri,10.25,62,887
0.39991,58,10,5,0,2,1,Tue,9.05,50,302
0.65663,64,10,9,0,0,0,Mon,18.86666667,68,496
0.40089,71,10,9,0,4,0,Fri,8.75,69,329
0.47375,53,10,7,0,0,0,Wed,9.5,68,300
0.65663,70,10,14,0,5,0,Mon,17.68333333,61,1018
0.38632,73,10,7,0,6,0,Sun,12.41666667,67,560
0.39547,73,10,12,0,6,0,Fri,12.15,67,472
0.55839,78,7,3,0,3,0,Wed,17.16666667,49,444
0.65663,68,10,14,0,5,0,Thu,8.366666667,61,324
0.65663,71,10,7,0,2,0,Sat,15.03333333,56,435
0.38202,81,8,8,0,4,0,Thu,16.96666667,65,941
0.46099,72,10,5,0.02,5,2,Wed,9.25,58,397
0.54102,71,10,10,0,7,0,Mon,10.45,67,561
0.79628,80,10,9,0,6,0,Fri,13.13333333,61,515
0.39991,45,10,2,0,0,0,Thu,8.833333333,60,414
0.39991,62,10,10,0,5,0,Tue,9.333333333,69,370
0.46099,66,10,4,0,5,0,Fri,8.45,61,308
0.55166,64,10,7,0,0,0,Mon,12.03333333,70,1021
0.43746,77,9,9,0,3,0,Sat,14.91666667,65,1428
0.40203,69,10,9,0,1,0,Wed,10.5,68,351
0.54976,74,9,9,0,3,0,Fri,8.783333333,65,830
0.54976,53,9,1,0,0,0,Fri,8.783333333,56,670
0.53191,71,10,9,0,4,0,Sun,9.333333333,65,763
0.79628,69,10,10,0,3,0,Mon,11.3,54,729
0.36612,75,10,9,0,7,0,Fri,12.38333333,58,747
0.38202,68,10,7,0,4,0,Fri,17.43333333,60,471
0.46099,70,10,3,0,0,0,Sun,14.53333333,53,316
0.79628,79,9,9,0.01,7,0,Wed,16.56666667,56,681
0.451,72,10,13,0,5,0,Sun,13.21666667,66,1671
0.55839,71,10,9,0,4,0,Thu,16.6,67,418
0.55117,77,9,9,0,3,0,Sat,18.5,65,629
0.36608,70,10,6,0,3,0,Tue,8.466666667,67,343
0.48189,76,8,2,0,6,0,Thu,16.81666667,52,485
0.55839,58,10,4,0,1,0,Wed,9.95,68,778
0.54102,55,10,5,0,7,0,Tue,8.516666667,54,559
0.48189,73,9,10,0,5,0,Mon,7.9,59,871
0.65663,66,9,3,0,1,0,Fri,9.433333333,52,537
0.55166,76,10,3,0,4,1,Mon,9.083333333,49,528
0.39991,70,10,10,0,5,0,Thu,9.216666667,58,448
0.451,76,9,3,0,5,0,Tue,8.766666667,57,464
0.55839,68,10,6,0,5,0,Thu,20.11666667,61,449
0.51441,43,10,6,0,2,0,Wed,17.63333333,75,832
0.65663,63,10,7,0,0,0,Fri,16.51666667,60,682
0.39547,71,9,8,0.32,6,2,Fri,12.38333333,56,489
0.46099,68,10,9,0,7,0,Tue,8.233333333,62,941
0.43746,80,10,8,0,5,0,Tue,8.433333333,55,422
0.40203,73,9,10,0,5,0,Mon,16.31666667,59,461
0.55166,49,10,5,0,0,0,Mon,5.966666667,64,565
0.43746,67,10,10,0,4,0,Wed,12.71666667,68,505
0.55117,72,10,9,0,3,0,Sat,14.61666667,65,648
0.47853,61,10,4,0,0,0,Wed,18.11666667,54,778
0.35379,45,10,4,0,0,0,Thu,9.666666667,43,500
0.46099,80,10,9,0,6,0,Fri,8.1,61,420
0.38632,66,10,10,0,6,0,Tue,9.45,68,346
0.47375,69,9,8,0,1,0,Fri,18.3,67,776
0.55166,73,10,7,0,5,0,Thu,7.066666667,65,1098
0.44983,73,10,11,0,7,1,Thu,18.4,65,732
0.65663,64,9,1,0,1,0,Mon,17.38333333,52,972
0.40203,55,10,5,0,7,0,Tue,18.15,54,997
0.47375,64,10,4,0,6,0,Tue,17.56666667,57,732
0.38632,69,10,8,0,3,0,Wed,18.38333333,67,475
0.43746,77,10,9,0,6,0,Tue,8.5,58,365
0.43617,86,6,2,0,2,1,Tue,19.85,52,575
0.43746,69,6,3,0,2,1,Tue,10.16666667,55,456
0.38202,48,10,13,0,1,0,Tue,8.783333333,57,454
0.46099,56,10,7,0,1,0,Tue,8.2,62,685
0.39991,73,10,13,0,6,0,Tue,8.85,67,897
0.67032,69,10,14,0,4,0,Tue,19.7,51,884
0.65663,67,10,9,0,1,1,Sat,10.96666667,60,1721
0.54976,73,10,11,0,6,0,Sat,17.5,66,540
0.37521,59,10,10,0,2,0,Tue,17.78333333,62,312
0.40089,52,10,4,0,2,0,Tue,8.183333333,67,462
0.55166,62,10,10,0,5,0,Tue,8.283333333,69,405
0.55166,55,10,8,0,1,0,Thu,7.05,64,384
0.54976,71,10,10,0,3,0,Tue,7.483333333,62,537
0.43746,74,10,12,0,8,0,Fri,12.31666667,59,340
0.44983,46,10,5,0,0,0,Wed,13.33333333,46,361
0.39991,72,10,13,0,8,0,Mon,8.15,57,510
0.39991,65,9,6,0,4,0,Wed,8.966666667,69,1041
0.7246,68,10,6,0,5,0,Thu,15.21666667,61,728
0.7246,81,10,15,0.22,8,2,Thu,17.8,58,446
0.51441,70,10,8,0,4,0,Tue,17.45,59,418
0.39991,74,10,9,0,4,0,Thu,18.08333333,68,472
0.55117,84,8,5,0,7,0,Thu,12.4,56,390
0.55166,78,10,9,0,7,0,Sat,0.65,59,846
0.53191,66,9,3,0,1,0,Fri,10.38333333,52,760
0.48189,72,10,5,0,4,0,Wed,8.566666667,60,917
0.55166,48,10,13,0,1,0,Tue,6.733333333,57,543
0.55839,70,10,3,0,1,0,Fri,20.35,58,455
0.35379,65,10,12,0,5,0,Fri,11.98333333,63,563
0.53191,44,10,3,0,0,0,Wed,8.366666667,61,912
0.7246,65,10,6,0,1,0,Mon,11.83333333,58,354
0.43559,56,10,9,0,2,0,Wed,8.616666667,55,437
0.65663,63,9,1,0,0,0,Thu,7.85,53,369
0.55166,87,9,8,0.1,7,2,Fri,9.35,60,582
0.54976,63,10,6,0,4,0,Thu,14.96666667,55,1085
0.51441,70,10,8,0,3,0,Fri,15.2,58,1019
0.54976,80,9,7,0.28,7,2,Tue,9.316666667,58,596
0.55166,72,9,12,0,6,0,Wed,9.066666667,51,335
0.37521,68,10,4,0,2,1,Tue,11.88333333,58,379
0.43746,58,10,4,0,1,0,Wed,14.73333333,68,561
0.44983,58,10,1,0,3,0,Thu,6.833333333,53,634
0.55117,69,10,10,0,3,0,Mon,14.61666667,54,2252
0.43559,71,10,7,0,5,0,Thu,13.55,63,445
0.38202,71,10,8,0,4,0,Sat,22.95,67,1021
0.36608,80,10,9,0,6,0,Fri,8.516666667,61,481
0.43559,75,8,6,0.15,8,2,Wed,7.7,57,463
0.46099,72,10,22,0,3,0,Tue,10.75,63,422
0.44983,72,9,13,0.69,7,2,Tue,19.23333333,52,575
0.54976,55,10,5,0,1,0,Tue,11.8,57,354
0.38202,52,10,4,0,2,0,Tue,21.53333333,67,524
0.7246,81,5,4,0.01,3,1,Fri,7.016666667,60,575
0.36222,71,10,13,0,8,0,Wed,16.16666667,65,989
0.67032,60,10,7,0,1,0,Sun,13.03333333,62,2940
0.43617,64,10,10,0,4,0,Sun,10.71666667,56,924
0.55166,67,10,9,0,2,0,Wed,6.766666667,67,434
0.51441,50,10,5,0,1,0,Fri,8.6,50,879
0.47853,69,10,9,0,4,0,Mon,17.56666667,67,436
0.48277,92,10,9,0,6,0,Tue,16.7,53,715
0.55166,62,8,7,0,2,0,Thu,17.63333333,70,400
0.38632,92,6,6,0.09,6,3,Sun,18.43333333,60,1329
0.55839,71,10,10,0.05,6,0,Mon,17.61666667,59,529
0.7246,83,8,2,0,7,1,Tue,17.06666667,59,533
0.55166,64,10,11,0,4,0,Fri,16.25,67,438
0.36222,64,10,16,0,1,0,Tue,8.666666667,62,701
0.67032,93,5,4,0.66,7,3,Thu,7.65,55,551
0.36608,81,10,15,0.22,8,2,Thu,15.86666667,58,725
0.37521,63,10,2,0,1,0,Mon,16.06666667,51,431
0.65663,72,10,10,0,6,0,Fri,21.31666667,61,691
0.54976,72,10,12,0,6,0,Mon,7.816666667,58,371
0.79628,77,10,12,0,6,0,Mon,13.35,69,360
0.54976,74,10,8,0,5,0,Fri,7.233333333,69,443
0.46099,62,10,6,0,0,0,Mon,17.31666667,65,1186
0.79628,84,7,5,0,5,0,Sat,19.16666667,53,965
0.36608,63,10,8,0,0,0,Fri,16.08333333,56,537
0.43746,60,10,4,0,0,0,Fri,18.06666667,57,382
0.67032,79,7,2,0,3,1,Sat,22.95,61,1054
0.40089,64,10,11,0,5,0,Tue,17.96666667,63,595
0.65663,60,10,6,0,3,0,Sun,17.03333333,63,649
0.53191,50,10,5,0,1,0,Fri,10.48333333,50,546
0.35379,72,8,2,0,0,0,Tue,10.55,49,308
0.65663,63,10,7,0,2,0,Thu,18.6,73,319
0.54102,76,9,4,0,2,0,Fri,11.46666667,47,553
0.36608,80,10,15,0,6,0,Fri,18.13333333,62,556
0.54976,64,10,4,0,6,0,Tue,18.6,57,551
0.7246,63,10,7,0,0,0,Fri,16.9,60,614
0.47853,64,10,8,0,1,0,Tue,16.76666667,61,449
0.38202,26,10,16,0,0,0,Wed,9.4,66,577
0.54976,73,10,10,0,6,0,Wed,22.51666667,60,494
0.36222,70,10,13,0,6,0,Fri,19.1,57,654
0.39991,70,10,6,0,1,0,Wed,17.01666667,60,816
0.40203,50,10,8,0,1,0,Wed,9.016666667,59,1205
0.35379,56,10,9,0,2,0,Wed,15.11666667,55,404
0.55166,63,10,2,0,1,0,Mon,8.766666667,51,742
0.37521,56,8,3,0,3,0,Fri,14.28333333,55,1658
0.54976,75,9,8,0.15,5,2,Tue,8.8,54,631
0.43559,73,10,11,0,7,0,Mon,13.48333333,55,568
0.43617,67,10,9,0,4,0,Thu,12.73333333,62,499
0.65663,68,10,11,0,5,0,Wed,7.85,63,349
0.54976,75,10,15,0,4,0,Sat,18.88333333,64,1215
0.43746,65,10,8,0,2,0,Fri,16.5,64,1888
0.55839,61,10,13,0,3,0,Tue,19.8,63,453
0.7246,71,10,9,0,5,0,Thu,18.13333333,66,699
0.36222,69,10,10,0,4,0,Mon,7.7,68,872
0.38202,64,10,5,0,1,0,Wed,15.76666667,55,406
0.79628,69,10,8,0,2,0,Sun,13.93333333,67,645
0.451,69,10,15,0,5,0,Mon,10.11666667,57,742
0.47375,71,10,10,0,5,0,Wed,17.06666667,68,1147
0.54976,62,10,8,0,0,0,Sun,9.85,67,420
0.451,78,10,11,0,6,0,Tue,21.46666667,61,414
0.47853,56,10,4,0.11,7,2,Wed,6.933333333,61,513
0.48277,82,10,9,0,2,1,Fri,16.98333333,58,325
0.51441,87,7,2,0,3,1,Mon,16.8,49,947
0.55839,76,10,9,0,7,0,Mon,17.08333333,62,1204
0.38632,63,10,11,0,5,0,Mon,17.3,68,408
0.7246,69,10,8,0,3,0,Wed,19.35,67,1053
0.55117,45,10,10,0,1,0,Sun,10.95,65,2100
0.43559,75,10,6,0,7,0,Thu,9.25,56,465
0.46099,71,10,8,0,4,0,Sat,13.76666667,67,1557
0.46099,68,9,9,0.01,5,2,Mon,6.666666667,62,613
0.451,68,10,6,0,5,0,Thu,21.26666667,61,409
0.53191,46,10,5,0,0,0,Wed,8.483333333,46,540
0.43746,77,8,7,0,3,1,Sun,16.66666667,55,576
0.38632,61,10,8,0,5,0,Thu,9.633333333,60,439
0.51441,71,10,11,0,4,0,Wed,19.26666667,66,1262
0.55839,70,10,9,0,4,0,Fri,9.183333333,66,560
0.46099,82,9,6,0,5,0,Mon,17.01666667,57,423
0.55839,67,10,4,0,1,0,Thu,9.333333333,46,487
0.43746,73,9,10,0,5,0,Mon,8.216666667,59,1028
0.43559,67,10,7,0,1,0,Mon,19.9,59,493
0.451,69,10,9,0,4,0,Mon,18.08333333,67,422
0.48277,69,7,10,0,1,0,Mon,17.46666667,70,594
0.55166,53,10,6,0,1,0,Mon,7.133333333,67,660
0.46099,69,10,11,0,3,0,Mon,8.05,51,350
0.36608,63,10,13,0,4,0,Mon,20.45,54,398
0.7246,77,10,9,0,6,0,Tue,17.06666667,58,585
0.55166,61,10,2,0,5,0,Mon,7.333333333,52,426
0.55117,75,10,7,0,2,0,Thu,12.36666667,58,479
0.55166,71,10,7,0,5,0,Thu,20.78333333,63,643
0.43617,73,10,12,0,6,0,Fri,9.9,67,816
0.43559,64,10,3,0,1,0,Sat,7.716666667,57,571
0.47853,73,10,13,0,6,0,Mon,16.86666667,67,658
0.53191,36,10,5,0,0,0,Sat,13.71666667,69,2369
0.43746,83,9,4,0,7,0,Fri,16.36666667,56,1129
0.47853,72,10,5,0,4,0,Wed,8.4,60,488
0.55117,71,10,7,0,2,0,Sat,18.86666667,56,1748
0.38632,72,10,11,0,6,0,Wed,19.81666667,64,505
0.69734,78,9,11,0,7,0,Mon,18.31666667,58,948
0.38632,72,10,13,0,8,0,Mon,18.56666667,57,803
0.43559,68,10,11,0,4,0,Tue,13.58333333,60,499
0.35379,65,10,4,0,5,0,Fri,12.03333333,62,495
0.53191,61,10,4,0,1,1,Sat,9.033333333,59,1612
0.40203,68,10,13,0,5,0,Thu,17.2,65,319
0.7246,75,10,4,0.01,5,1,Thu,6.883333333,64,553
0.53191,70,10,3,0,1,0,Fri,8.466666667,58,422
0.7246,70,10,6,0,1,0,Wed,8.033333333,60,458
0.38632,65,10,4,0,5,0,Fri,16.61666667,62,442
0.44983,74,9,9,0,3,0,Fri,12.06666667,65,488
0.44983,72,10,22,0,3,0,Tue,19.05,63,527
0.53191,72,10,11,0,6,0,Wed,8.733333333,64,474
0.7246,40,10,5,0,0,0,Tue,22.35,67,362
0.40089,64,9,1,0,1,0,Mon,15.8,52,345
0.38202,74,9,11,0,3,0,Thu,17.53333333,60,484
0.7246,66,10,7,0,4,0,Tue,18.13333333,58,750
0.48277,74,10,9,0,4,0,Thu,17.93333333,68,738
0.48189,71,9,9,0,0,0,Fri,17.06666667,65,444
0.39991,66,10,7,0,4,0,Tue,16.45,58,668
0.55166,67,10,7,0,4,0,Tue,17.26666667,68,797
0.43559,81,5,4,0.01,3,1,Fri,10.38333333,60,954
0.67032,72,10,9,0,5,0,Thu,11.75,65,1166
